text,label
"Is there an update on this please?",2
"Yes, update please. This function is a must for those of us who have customers/clients who are required to pay multiple invoices at once. Can we please get this function added ASAP.",2
any news on this option to add Pay Now link to the statements please ?,2
"I can't believe I've just stumbled across this as a feature that doesn't already exist. 

In my view it's very primative that with xero you can't add a link to 'pay now' when sending statement e-mails. It is 2025.. this should be already available... come on xero developers, please get this enacted. There's businesses like ours setting up direct debits for customers, growing sending an ever increasing number of invoices, team Xero should be treating this as a priority. 

Competitiors already do this?! Although I suppose if it's left long enough, enough folk will start looking elsewhere for accountancy programmes and there won't be a need for this anymore!",1
"This is a really basic omission which, having just switched to Xero, I'm really frustrated about.  I hope it gets added very soon.",1
This has been ongoing for some time. What sort of timescale are we talking Xero.,1
It doesn’t make sense that there isn’t yet available. Please fast track.,1
This feature would help immensely with cash flow,2
This is a must release feature in my opinion,2
We are a school using Xero we invoice annually and parents can pay monthly so it is really necessary for the online payment method to be linked to statements as well. Doesn't make sense that this is still unavailable.,2
"I have discovered that there is now a ""Review and Pay"" button on statements.

It will only appear if the invoice is new. I have found that you can prompt it to show in older statements by ""editing"" an invoice. You don't need to edit anything, you just need to make Xero think you have edited the invoice.",2
"Hi, some of our customers does not want review and pay button in customer statement email. Is there any way we can remove the link?",2
YES! FINALLY!!!! I have been using my own custom made template for this for ages - seems crazy to send a client a statement with 10+ outstanding invoices on it and expect them to open each invoice and click the links separately...! this pay now feature is well overdue. thank you Xero! I am v sad I didn't get to try it out though... hopefully in the next pool??!,4
Not having the actual invoice attached to the draft bill generated when sending using the network key makes this function useless.  HMRC are undertaking more enquiries and you need to have the supporting documentation at your fingertips should a question arise,1
Looking forward for this feature.,2
"I also do need zero balances included. Any progress on this?? 

I agree with other users that this is a basic function that should be readily available. It seems clients have been waiting for this to happen for ever. I only use Xero because my employer already was using this software... but thinking of transitioning to better one as it seems basic features aren't yet setup in this platform..",1
Seems that this really is a priority for many Xero users now. Any update?,2
"Hi Team, this feature would make every user of Xero's life a bit easier! Any update on this?",2
"@Xero - any update? This is more important than trying to push us onto a New Invoicing that no one wants. 

Please, listen to your people rather than looking for new customers with 90% off sales",2
"This should be straightforward for a professional development team, especially since you already have the same function active on another page.",1
"This should be a no brainer!!!!

This would save your users a lot of time and frustration. Makes me want to go back to MYOB",0
"This is a basic requirement for quoting software. 

How many comments on this thread does it need.....",1
"I'm struggling to understand how this has been a suggestion for 10 years and still not been done. I'm starting to doubt my decision to move to Xero, the product development seems to be stagnant, with no interest in customer requests.",1
Xero has an AI-powered CoPilot assistant ... but I still can't copy a link to a quote.,1
Please can we have this. It seems relatively straight forward as you have the system to create the link anyway for the email.....,2
It's hard for me to understand why this is still not implemented. Does Xero even care about what its users need?,1
3 years on from it's original submission and still not a feature which is a great shame. Is there are progress on this please?,1
"Please add the suggested functionality, would greatly increase usability of XERO",2
When can I get the Online Quote Link from the API?,2
"I just came from QuickBooks and they had this feature and I was sure that Xero would have this feature. This would be so easy to achieve surely just a button near the send button that would say share link? Considering the system already creates a link, its almost there!!",1
"@kellymunro

This is such a needed feature  - do we have any updates yet please?...",2
😭 why hasn't this been added yet,1
its not that hard to do ... it must be a strategic choice to not make this link available,1
"As per everyone else on the planet, it's ludicrous that this isn't yet a feature. Please implement ASAP.",1
Xero will waste time with ai and dashboard updates that no one asked for but basic features that all other and cheaper platforms have xero lacks.,1
"Yes! At the moment we can filter by staff member but they're not even in date order.  Filter by date, filter by supplier within each staff member would be common sense.  We have a huge list linked to multiple credit cards and it's so hard to find particular ones.",2
