COMMENT_ID,SUGGESTION_ID,CREATED_AT,SUGGESTION_TITLE,COMMENT_BODY,SUGGESTION_STATE,SENTIMENT_SCORE
45260929,44960275,2022-04-07 20:34:38.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"examples: each, kg, min (minutes), hours. This was one of the things I miss from my old invoice system and feel it gives clarity for the recipient.",approved,2
45265927,44960275,2022-04-10 05:05:54.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Some clients are really not able to use accounting softwares because of this limitation. e.g. one of my clients who is in hospitality says his clients demand detailed invoices so he has to show them the number of days and number of guests, not in the description but as part of the calculations. I would really appreciate it if Xero can consider adding this feature. ",approved,2
45294721,44960275,2022-04-20 08:37:33.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,This is necessary for EDI systems,approved,2
45316513,44960275,2022-04-27 18:36:40.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,I sell materials by square metre and it would be great to enter length & width and show all figures on invoice.,approved,2
45317185,44960275,2022-04-27 22:59:21.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,For clients who sell livestock - we require quantity x weight x price/kg,approved,2
45317314,44960275,2022-04-28 01:03:11.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,UOM is a must-have information for inventory management,approved,2
45344869,44960275,2022-05-04 11:16:50.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,Be able to get proper waybills based on item weight x quantity. Possibly look at cartons x weight per carton as another option. The Packing slip only takes the basics but shipping companies need more detail.,approved,2
45379039,44960275,2022-05-23 22:31:19.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Units of measure and weight, and EU Commodity Codes",approved,2
45386569,44960275,2022-05-26 07:59:33.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,UOM is a must-have information for inventory management,approved,2
45422449,44960275,2022-06-10 00:09:54.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Business uses extensive types of materials, labour, and equipment. On a single invoice, units of measure could change over 30 times. This can be very confusing to clients. Currently, UOM is required in the description field, however, this does not look professional. ",approved,1
45483265,44960275,2022-07-05 08:05:26.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Barry Jenkins - Elliott Absorbents
Totally Agree.
Fundamental requirement to show UOM and Weight to Line Items as separate fields. EU Commodity Code is also a requirement especially when shipping Goods.
",approved,2
45484819,44960275,2022-07-05 19:49:53.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Yes! We need the UOM column additional to the QTY column. 

In our case the UOM is length. We sell metal profiles in numerous custom lengths. Lack of the length field forces us to either (1) create hundreds of items for the same profile, or (2) work with 1 single unit measure item and face the resulting stock and cost mess. The latter requires continuous stock and cost of sales adjustments. ",approved,1
45491470,44960275,2022-07-08 08:06:52.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"I want to add a Conversion factor (that can convert number of units to Kgs) to each of my products while creating an entry in the material master.

Both number of units and Kgs must be displayed in all of the accounting documents like quotation, Purchase Order, Invoice, inventory management etc.

This could be an useful feature to have and can be applied to liquid products (both Ltrs and Kgs can be displayed) and Chemicals.",approved,2
45511516,44960275,2022-07-16 17:35:29.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,UOM is a must to have feature so the clear information can be given in the invoices to the customers,approved,2
45683395,44960275,2022-09-29 00:46:16.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,We sell so many different units of measure that it's critical to our customer communication to enable this,approved,2
45709363,44960275,2022-10-12 12:42:01.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,I have to run a separate spread sheet. Not having basic weights costs me time and money.,approved,2
45720538,44960275,2022-10-18 10:32:28.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"With Brexit and paperwork needed to export to Europe, this is extremely important stuff. Need weights, commodity codes gross values etc. Also need a summary box so products with same commodity codes can be grouped. You are allowed 3 commodity codes foc but after that you are charged per line. Most product can be catagorised in to 3 commodity codes so grouping summary is very important. Please help Xero",approved,2
45725530,44960275,2022-10-19 23:01:11.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,This function is necessary for sending packing slips to obtain import permits. Both net weight and pacakge weight are critical.,approved,2
45777100,44960275,2022-11-12 09:01:15.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Any news on this Xero? As FJ hunt wrote on the 18th October, since Brexit this is now a major requirement for exporting goods.",approved,2
45782281,44960275,2022-11-15 12:30:28.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,This would help my construction client massively! please can we have the option to add a column that has units of measurement?,approved,2
45783550,44960275,2022-11-15 21:15:34.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,Why does it take so long to get any changes with xero? this is an essential,approved,1
45783667,44960275,2022-11-15 22:00:46.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"If you are going to do UoM, then understand you might as well go to the next level which is related UoM, eg, single/each, dozen, pack, crate, container and the price and discount relationship between them, both for suppliers and customers. Also for time based businesses, unit, minute, hour, day etc, and the quantity relationships.

Please also consider serialized inventory, lot and batch number recording and proper inventory and manufacturer part number recording.",approved,2
45784783,44960275,2022-11-16 10:09:51.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Good view of the bigger picture. It's not difficult, Zoho does it easily, a specific UOM can be attached to an Item.",approved,3
45800515,44960275,2022-11-23 16:51:57.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Our shipping company is now asking that we upload onto their platform, a csv commercial invoice with itemised price, description, quantity, commodity code and country of origin, instead of just uploading our own invoice which is causing us a lot more work and means that we can't easily send out urgent parts because it takes so long to fill in CSV file.  I am very surprised that these fields weren't a feature from the word go.",approved,1
45826726,44960275,2022-12-07 14:08:53.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"
This wpould be a fantastic tool especially for the service industrys",approved,3
45929809,44960275,2023-01-12 13:54:32.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Inventory function - We would like to see extra fields for a manufacturer-specific data entry point and store location, as we have 5. ",approved,2
46121023,44960275,2023-01-27 11:09:24.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"Add a general field to the inventory item, Be able to export / import this field along with the other inventory fields and be able to use this field in reports. 
We are a embroidery and print company and would like to use this field for stitch counts against the embroidery logo item. But I am sure that many other businesses would have a need for a field that they could use against the inventory item for their industry / business.",approved,2
45996610,44960275,2023-01-29 21:44:41.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"We wholesale products which have a certain amount of units per box, 24, 30, 20 for example. When creating invoices in Xero there's one unit set up by default and we have to manually change the numbers we are going to invoice. Is there any option that we can set up the number of items sold per tracking inventory item? It will save us a lot of time and make Xero easier to use.",approved,2
45970720,44960275,2023-01-30 22:28:36.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,We need to ad an extra column to calculate cartons and also have a sum at the bottom for both units and cartons.,approved,2
45971134,44960275,2023-01-31 02:42:39.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,Please start listening Xero,approved,1
45971236,44960275,2023-01-31 04:05:51.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,HELLO - IS there any one Home at Xero as no ONE is Listening !!,approved,0
46121026,44960275,2023-02-25 07:29:11.000000000 Z,Invoices | Inventory - Add units of measure (UOM) & weight to line items,"I have a client who sells artificial turf in measurements - ie; 5m by 2m. Each sqm is entered as a unit in the inventory, but the client has to calculate each sale manually, so with the above it would be 10 units. It would be handy, for more complicated measurements, to have a feature where we can enter the measurements and Xero would automatically work out the number of units needed - this also makes it clearer for their clients.",approved,2
